,log2_MRL_2hpf,log2_MRL_4hpf,log2_MRL_6hpf,log2_MRL_10hpf,diff_log2_TPM_input_4-2hpf,diff_log2_TPM_input_6-2hpf,diff_log2_TPM_input_10-2hpf
a0,6.996463572653503,7.824405198540895,5.928623264298426,8.706624600537161,-1.1688053985184315,0.9491274855022745,-1.405122701315372
a1,-0.04121892703438682,-0.05167986130952984,-0.030447962526503013,-0.06321598082566704,0.01640395114849294,-0.00715349159721403,0.01892221417193803
a2,9.224316355774634e-05,0.00012573780216719303,7.264914853505149e-05,0.00013589856231278113,-5.142845207446777e-05,2.5366815347978906e-06,-5.97727241293357e-05
